NPA,2011,2013,2015,2016,2017,2018,2019,2020,2021,2022,2011 Raw,2013 Raw,2015 Raw,2016 Raw,2017 Raw,2018 Raw,2019 Raw,2020 Raw,2021 Raw,2022 Raw
2,"9","7","5","5","5","7","8","9","8","11","19","15","10","11","11","15","18","19","18","24"
3,"2","2","2","4","4","4","3","4","3","4","13","17","17","33","37","38","42","43","40","47"
4,"0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0"
5,"22","25","19","20","16","12","26","25","19","12","13","19","14","16","13","9","20","19","15","9"
6,"27","31","24","29","38","28","30","32","28","21","45","55","42","53","71","51","54","57","51","37"
7,"0","0","0","2","4","1","0","2","2","1","0","0","0","2","5","1","0","2","3","1"
8,"1","1","1","1","1","2","0","3","1","3","1","2","1","2","2","3","0","5","1","5"
9,"4","0","3","3","3","2","3","0","0","0","2","0","2","2","2","1","2","0","0","0"
10,"15","13","11","17","21","15","18","17","11","9","50","48","43","66","79","58","59","53","36","28"
11,"2","2","1","1","1","3","3","2","1","1","5","4","2","2","3","9","8","6","3","2"
12,"8","14","12","10","13","8","10","15","19","11","21","36","31","26","36","21","27","41","52","30"
13,"5","7","3","7","8","5","7","8","8","8","17","25","10","24","27","17","26","29","27","28"
14,"2","2","2","4","2","3","2","3","5","4","6","9","7","15","8","10","9","12","17","16"
15,"0","0","0","1","0","1","0","0","1","0","0","0","0","3","0","3","1","0","3","0"
16,"4","4","4","5","6","8","7","9","6","7","17","20","17","23","28","37","34","43","31","33"
17,"4","6","6","7","6","9","12","9","6","7","13","21","19","24","21","31","37","30","20","24"
18,"1","3","2","0","2","1","1","1","3","2","2","9","6","1","5","3","3","5","9","6"
19,"1","0","0","1","1","0","0","1","0","1","2","1","0","2","4","1","0","4","1","2"
20,"0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","4","1","1","0","1"
21,"10","6","7","14","9","10","13","13","9","13","25","17","22","41","28","30","36","36","26","38"
22,"14","11","7","11","9","8","6","4","4","5","10","10","7","11","12","11","14","11","10","13"
23,"7","5","0","9","6","5","2","6","6","10","8","5","0","10","7","6","2","7","8","13"
24,"4","6","2","4","4","8","1","2","3","4","4","7","2","4","4","8","1","2","3","4"
25,"1","0","1","1","0","1","2","0","0","0","2","0","2","2","0","2","5","1","1","0"
26,"1","2","1","1","1","1","3","2","1","1","2","5","3","2","3","3","8","5","4","4"
27,"2","3","1","0","5","4","4","1","2","5","4","7","2","1","13","10","10","4","5","13"
